epcoh,loss,binary_accuracy,val_loss,val_binary_accuracy
145,0.0189,0.9983,0.8704,0.9569
146,0.0217,0.9984,0.8560,0.9575
147,0.0204,0.9983,0.8503,0.9569
148,0.0185,0.9982,0.8538,0.9580
149,0.0211,0.9986,0.8642,0.9590
150,0.0298,0.9974,0.8797,0.9590
151,0.0200,0.9983,0.8958,0.9596
152,0.0207,0.9983,0.8957,0.9590
153,0.0220,0.9986,0.8949,0.9569
154,0.0189,0.9980,0.8905,0.9580
155,0.0213,0.9983,0.8837,0.9564
156,0.0194,0.9989,0.8859,0.9564
157,0.0180,0.9986,0.8969,0.9564
158,0.0202,0.9983,0.9257,0.9575
159,0.0180,0.9986,0.9507,0.9580
160,0.0187,0.9989,0.9651,0.9585
161,0.0164,0.9989,0.9631,0.9575
162,0.0183,0.9987,0.9470,0.9559
163,0.0159,0.9991,0.9304,0.9559
164,0.0180,0.9988,0.9191,0.9569
165,0.0184,0.9992,0.9137,0.9569
166,0.0205,0.9978,0.9078,0.9569
167,0.0181,0.9991,0.9097,0.9575
168,0.0197,0.9984,0.9247,0.9569
169,0.0185,0.9983,0.9552,0.9554
170,0.0205,0.9988,0.9890,0.9554
171,0.0151,0.9987,1.0115,0.9548
172,0.0212,0.9984,1.0160,0.9548
173,0.0187,0.9986,1.0051,0.9554
174,0.0163,0.9986,0.9728,0.9564
175,0.0173,0.9987,0.9486,0.9554
176,0.0176,0.9984,0.9393,0.9548
177,0.0212,0.9983,0.9405,0.9559
178,0.0159,0.9982,0.9530,0.9548
179,0.0153,0.9989,0.9790,0.9538
180,0.0175,0.9984,0.9957,0.9538
181,0.0158,0.9984,1.0040,0.9533
182,0.0139,0.9992,0.9782,0.9569
183,0.0153,0.9988,0.9548,0.9564
184,0.0177,0.9989,0.9394,0.9569
185,0.0128,0.9989,0.9400,0.9564
186,0.0156,0.9986,0.9472,0.9569
187,0.0160,0.9986,0.9581,0.9569
188,0.0134,0.9989,0.9662,0.9575
189,0.0204,0.9984,0.9686,0.9590
190,0.0146,0.9991,0.9746,0.9575
191,0.0208,0.9986,0.9514,0.9580
192,0.0210,0.9984,0.9351,0.9575
193,0.0163,0.9989,0.9465,0.9554
194,0.0225,0.9984,0.9297,0.9569
195,0.0223,0.9986,0.9161,0.9590
196,0.0154,0.9989,0.9178,0.9596
197,0.0230,0.9979,0.9223,0.9585
198,0.0204,0.9976,0.9385,0.9585
199,0.0181,0.9984,0.9679,0.9585
200,0.0197,0.9989,0.9896,0.9585
201,0.0183,0.9986,1.0054,0.9580
202,0.0225,0.9983,1.0368,0.9564
203,0.0232,0.9987,0.9897,0.9569
204,0.0405,0.9968,0.9623,0.9596
205,0.0255,0.9988,0.8414,0.9601
